Link	bacnam	ID
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657171
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657172
Ga0133553	Bifidobacterium_asteroides_Bi_200	2684657173
Ga0133554	Frischella_perrara_Fp_167	2684657174
Ga0133554	Frischella_perrara_Fp_167	2684657175
Ga0133554	Frischella_perrara_Fp_167	2684657176
Ga0133554	Frischella_perrara_Fp_167	2684657177
Ga0133554	Frischella_perrara_Fp_167	2684657178
Ga0133554	Frischella_perrara_Fp_167	2684657179
Ga0133554	Frischella_perrara_Fp_167	2684657180
Ga0133554	Frischella_perrara_Fp_167	2684657181
Ga0133554	Frischella_perrara_Fp_167	2684657182
Ga0133554	Frischella_perrara_Fp_167	2684657183
Ga0133554	Frischella_perrara_Fp_167	2684657184
Ga0133554	Frischella_perrara_Fp_167	2684657185
Ga0133554	Frischella_perrara_Fp_167	2684657186
Ga0133554	Frischella_perrara_Fp_167	2684657187
Ga0133554	Frischella_perrara_Fp_167	2684657188
Ga0133554	Frischella_perrara_Fp_167	2684657189
Ga0133554	Frischella_perrara_Fp_167	2684657190
Ga0133554	Frischella_perrara_Fp_167	2684657191
Ga0133554	Frischella_perrara_Fp_167	2684657192
Ga0133554	Frischella_perrara_Fp_167	2684657193
Ga0133554	Frischella_perrara_Fp_167	2684657194
Ga0133554	Frischella_perrara_Fp_167	2684657195
Ga0133554	Frischella_perrara_Fp_167	2684657196
Ga0133554	Frischella_perrara_Fp_167	2684657197
Ga0133554	Frischella_perrara_Fp_167	2684657198
Ga0133554	Frischella_perrara_Fp_167	2684657199
Ga0133554	Frischella_perrara_Fp_167	2684657200
Ga0133554	Frischella_perrara_Fp_167	2684657201
Ga0133554	Frischella_perrara_Fp_167	2684657202
Ga0133554	Frischella_perrara_Fp_167	2684657203
Ga0133554	Frischella_perrara_Fp_167	2684657204
Ga0133554	Frischella_perrara_Fp_167	2684657205
Ga0133554	Frischella_perrara_Fp_167	2684657206
Ga0133554	Frischella_perrara_Fp_167	2684657207
Ga0133554	Frischella_perrara_Fp_167	2684657208
Ga0133554	Frischella_perrara_Fp_167	2684657209
Ga0133554	Frischella_perrara_Fp_167	2684657210
Ga0133554	Frischella_perrara_Fp_167	2684657211
Ga0133554	Frischella_perrara_Fp_167	2684657212
Ga0133554	Frischella_perrara_Fp_167	2684657213
Ga0133555	Gilliamella_apicola_Ga_169	2684657214
Ga0133555	Gilliamella_apicola_Ga_169	2684657215
Ga0133555	Gilliamella_apicola_Ga_169	2684657216
Ga0133555	Gilliamella_apicola_Ga_169	2684657217
Ga0133555	Gilliamella_apicola_Ga_169	2684657218
Ga0133555	Gilliamella_apicola_Ga_169	2684657219
Ga0133555	Gilliamella_apicola_Ga_169	2684657220
Ga0133555	Gilliamella_apicola_Ga_169	2684657221
Ga0133555	Gilliamella_apicola_Ga_169	2684657222
Ga0133555	Gilliamella_apicola_Ga_169	2684657223
Ga0133555	Gilliamella_apicola_Ga_169	2684657224
Ga0133555	Gilliamella_apicola_Ga_169	2684657225
Ga0133555	Gilliamella_apicola_Ga_169	2684657226
Ga0133556	Gilliamella_apicola_Ga_172	2684657227
Ga0133556	Gilliamella_apicola_Ga_172	2684657228
Ga0133556	Gilliamella_apicola_Ga_172	2684657229
Ga0133556	Gilliamella_apicola_Ga_172	2684657230
Ga0133556	Gilliamella_apicola_Ga_172	2684657231
Ga0133556	Gilliamella_apicola_Ga_172	2684657232
Ga0133556	Gilliamella_apicola_Ga_172	2684657233
Ga0133556	Gilliamella_apicola_Ga_172	2684657234
Ga0133556	Gilliamella_apicola_Ga_172	2684657235
Ga0133556	Gilliamella_apicola_Ga_172	2684657236
Ga0133556	Gilliamella_apicola_Ga_172	2684657237
Ga0133556	Gilliamella_apicola_Ga_172	2684657238
Ga0133556	Gilliamella_apicola_Ga_172	2684657239
Ga0133556	Gilliamella_apicola_Ga_172	2684657240
Ga0133556	Gilliamella_apicola_Ga_172	2684657241
Ga0133556	Gilliamella_apicola_Ga_172	2684657242
Ga0133556	Gilliamella_apicola_Ga_172	2684657243
Ga0133557	Gilliamella_apicola_Ga_177	2684657244
Ga0133557	Gilliamella_apicola_Ga_177	2684657245
Ga0133557	Gilliamella_apicola_Ga_177	2684657246
Ga0133557	Gilliamella_apicola_Ga_177	2684657247
Ga0133557	Gilliamella_apicola_Ga_177	2684657248
Ga0133557	Gilliamella_apicola_Ga_177	2684657249
Ga0133557	Gilliamella_apicola_Ga_177	2684657250
Ga0133557	Gilliamella_apicola_Ga_177	2684657251
Ga0133557	Gilliamella_apicola_Ga_177	2684657252
Ga0133557	Gilliamella_apicola_Ga_177	2684657253
Ga0133557	Gilliamella_apicola_Ga_177	2684657254
Ga0133557	Gilliamella_apicola_Ga_177	2684657255
Ga0133557	Gilliamella_apicola_Ga_177	2684657256
Ga0133557	Gilliamella_apicola_Ga_177	2684657257
Ga0133557	Gilliamella_apicola_Ga_177	2684657258
Ga0133557	Gilliamella_apicola_Ga_177	2684657259
Ga0133557	Gilliamella_apicola_Ga_177	2684657260
Ga0133557	Gilliamella_apicola_Ga_177	2684657261
Ga0133557	Gilliamella_apicola_Ga_177	2684657262
Ga0133558	Gilliamella_apicola_Ga_182	2684657281
Ga0133558	Gilliamella_apicola_Ga_182	2684657282
Ga0133558	Gilliamella_apicola_Ga_182	2684657283
Ga0133558	Gilliamella_apicola_Ga_182	2684657284
Ga0133558	Gilliamella_apicola_Ga_182	2684657285
Ga0133558	Gilliamella_apicola_Ga_182	2684657286
Ga0133558	Gilliamella_apicola_Ga_182	2684657287
Ga0133558	Gilliamella_apicola_Ga_182	2684657288
Ga0133558	Gilliamella_apicola_Ga_182	2684657289
Ga0133558	Gilliamella_apicola_Ga_182	2684657290
Ga0133558	Gilliamella_apicola_Ga_182	2684657291
Ga0133558	Gilliamella_apicola_Ga_182	2684657292
Ga0133558	Gilliamella_apicola_Ga_182	2684657293
Ga0133558	Gilliamella_apicola_Ga_182	2684657294
Ga0133558	Gilliamella_apicola_Ga_182	2684657295
Ga0133558	Gilliamella_apicola_Ga_182	2684657296
Ga0133558	Gilliamella_apicola_Ga_182	2684657297
Ga0133558	Gilliamella_apicola_Ga_182	2684657298
Ga0133558	Gilliamella_apicola_Ga_182	2684657299
Ga0133558	Gilliamella_apicola_Ga_182	2684657300
Ga0133558	Gilliamella_apicola_Ga_182	2684657301
Ga0133558	Gilliamella_apicola_Ga_182	2684657302
Ga0133558	Gilliamella_apicola_Ga_182	2684657303
Ga0133558	Gilliamella_apicola_Ga_182	2684657304
Ga0133558	Gilliamella_apicola_Ga_182	2684657305
Ga0133558	Gilliamella_apicola_Ga_182	2684657306
Ga0133558	Gilliamella_apicola_Ga_182	2684657307
Ga0133558	Gilliamella_apicola_Ga_182	2684657308
Ga0133558	Gilliamella_apicola_Ga_182	2684657309
Ga0133558	Gilliamella_apicola_Ga_182	2684657310
Ga0133558	Gilliamella_apicola_Ga_182	2684657311
Ga0133559	Gilliamella_apicola_Ga_178	2684657263
Ga0133559	Gilliamella_apicola_Ga_178	2684657264
Ga0133559	Gilliamella_apicola_Ga_178	2684657265
Ga0133559	Gilliamella_apicola_Ga_178	2684657266
Ga0133559	Gilliamella_apicola_Ga_178	2684657267
Ga0133559	Gilliamella_apicola_Ga_178	2684657268
Ga0133559	Gilliamella_apicola_Ga_178	2684657269
Ga0133559	Gilliamella_apicola_Ga_178	2684657270
Ga0133559	Gilliamella_apicola_Ga_178	2684657271
Ga0133559	Gilliamella_apicola_Ga_178	2684657272
Ga0133559	Gilliamella_apicola_Ga_178	2684657273
Ga0133559	Gilliamella_apicola_Ga_178	2684657274
Ga0133559	Gilliamella_apicola_Ga_178	2684657275
Ga0133559	Gilliamella_apicola_Ga_178	2684657276
Ga0133559	Gilliamella_apicola_Ga_178	2684657277
Ga0133559	Gilliamella_apicola_Ga_178	2684657278
Ga0133559	Gilliamella_apicola_Ga_178	2684657279
Ga0133559	Gilliamella_apicola_Ga_178	2684657280
Ga0133560	Snodgrassella_alvi_Sa_196	2684657312
Ga0133560	Snodgrassella_alvi_Sa_196	2684657313
Ga0133560	Snodgrassella_alvi_Sa_196	2684657314
Ga0133560	Snodgrassella_alvi_Sa_196	2684657315
Ga0133560	Snodgrassella_alvi_Sa_196	2684657316
Ga0133560	Snodgrassella_alvi_Sa_196	2684657317
Ga0133560	Snodgrassella_alvi_Sa_196	2684657318
Ga0133560	Snodgrassella_alvi_Sa_196	2684657319
Ga0133560	Snodgrassella_alvi_Sa_196	2684657320
Ga0133560	Snodgrassella_alvi_Sa_196	2684657321
Ga0133560	Snodgrassella_alvi_Sa_196	2684657322
