,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Clostridium phage phi8074-B1,Clostridium phage phi8074-B1,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage AF,Pseudomonas phage AF,all,,,Podoviridae,Caudovirales,Vira,,
Enterobacteria phage Hgal1,Enterobacteria phage Hgal1,all,Levivirus,,Leviviridae,,Vira,,
Staphylococcus phage phi5967PVL,Staphylococcus phage phi5967PVL,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage C-1 INW-2012,Enterobacteria phage C-1 INW-2012,all,Levivirus,,Leviviridae,,Vira,,
Burkholderia virus Bcepmigl,Burkholderia cenocepacia phage BcepMigl,all,Bcep22likevirus,,Podoviridae,Caudovirales,Vira,,
Lactobacillus virus ATCC8014,Lactobacillus phage ATCC 8014-B1,all,Coetzeevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage StB20,Staphylococcus phage StB20,all,,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage StB27,Staphylococcus phage StB27,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Yersinia phage phi80-18,Yersinia phage phi80-18,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Salmonella phage SKML-39,Salmonella virus SKML39,all,Ag3virus,Aglimvirinae,Ackermannviridae,Caudovirales,Vira,,
Yersinia phage phiR1-RT,Yersinia virus R1RT,all,Tegunavirus,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Giles,Mycobacterium virus Giles,all,Gilesvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK542,Escherichia virus HK542,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK106,Escherichia virus HK106,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK544,Escherichia virus HK544,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage JD007,Staphylococcus virus JD7,all,Kayvirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Escherichia phage HK578,Escherichia virus HK578,all,Dhillonvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK630,Escherichia virus HK630,all,Lambda-like viruses,,Siphoviridae,Caudovirales,Vira,,
Vibrio phage vB_VpaM_MAR,Vibrio virus MAR,all,VHML-like phages,,Myoviridae,Caudovirales,Vira,,
Enterobacterial phage mEp390,Enterobacterial phage mEp390,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacterial phage mEp213,Enterobacterial phage mEp213,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK633,Escherichia virus HK633,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage vB_EcoS_Rogue1,Escherichia phage Rogue1,all,Rogue1virus,Tunavirinae,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK225,Enterobacteria phage HK225,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage mEp460,Enterobacteria phage mEp460,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacterial phage mEp234,Escherichia virus mEp234,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK446,Escherichia virus HK446,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Vibrio phage vB_VpaS_MAR10,Vibrio virus MAR10,all,Mardecavirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK629,Escherichia virus HK629,all,Lambda-like viruses,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage HK140,Enterobacteria phage HK140,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage mEpX1,Escherichia virus mEpX1,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage mEp235,Enterobacteria phage mEp235,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage M,Enterobacteria phage M,all,Levivirus,,Leviviridae,,Vira,,
Enterobacteria phage mEp043 c-1,Enterobacteria phage mEp043 c-1,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage mEpX2,Escherichia virus mEpX2,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Halogeometricum pleomorphic virus 1,Halogeometricum virus HGPV-1,all,Betapleolipovirus,,Pleolipoviridae,,Vira,,
Halorubrum pleomorphic virus 6,Halorubrum virus HRPV-6,all,Alphapleolipovirus,,Pleolipoviridae,,Vira,,
Halorubrum pleomorphic virus 3,Halorubrum virus HRPV-3,all,Betapleolipovirus,,Pleolipoviridae,,Vira,,
Halorubrum pleomorphic virus 2,Halorubrum virus HRPV-2,all,Alphapleolipovirus,,Pleolipoviridae,,Vira,,
Escherichia phage FV3,Escherichia virus FV3,all,V5virus,Vequintavirinae,Myoviridae,Caudovirales,Vira,,
Staphylococcus phage P954,Staphylococcus phage P954,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Burkholderia phage KS10,Burkholderia bacteriophage KS10,all,,,Myoviridae,Caudovirales,Vira,,
Phage MP22,Bacteriophage MP22,all,Casadabanvirus,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas virus DMS3,Bacteriophage DMS3,all,Casadabanvirus,,Siphoviridae,Caudovirales,Vira,,
Burkholderia phage Bcep176,Bcep176,all,E125virus,,Siphoviridae,Caudovirales,Vira,,
Burkholderia virus Bcep1,Burkholderia cenocepacia phage Bcep1,all,Bcep781likevirus,,Myoviridae,Caudovirales,Vira,,
Burkholderia virus Bcep781,Bcep781,all,Bcep781likevirus,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage epsilon15,Salmonella virus Epsilon15,all,Epsilon15-like viruses,,Podoviridae,Caudovirales,Vira,,
Actinoplanes phage phiAsp2,Actinoplanes phage phiAsp2,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas virus D3112,Bacteriophage D3112,all,Casadabanvirus,,Siphoviridae,Caudovirales,Vira,,
Liberibacter phage SC2,Candidatus Liberibacter phage SC2,all,,,Podoviridae,Caudovirales,Vira,,
Liberibacter phage SC1,Candidatus Liberibacter phage SC1,all,,,Podoviridae,Caudovirales,Vira,,
Ralstonia phage RSS0,Ralstonia phage RSS0,all,,,Inoviridae,,Vira,,
Salmonella phage SPN3UB,Salmonella Typhimurium Bacteriophage SPN3UB,all,,,Siphoviridae,Caudovirales,Vira,,
Deep-sea thermophilic phage D6E,Deep-sea thermophilic bacteriophage D6E,all,,,Myoviridae,Caudovirales,Vira,,
Aeromonas phage Aes508,Aeromonas virus Aes508,all,Tulanevirus,,Myoviridae,Caudovirales,Vira,,
Pectobacterium phage PP1,Pectobacterium Bacteriophage PP1,all,SP6-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Salinivibrio phage CW02,Bacteriophage CW02,all,,,Podoviridae,Caudovirales,Vira,,
Aeromonas phage CC2,Aeromonas phage CC2,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Salmonella phage Sh19,Salmonella virus SH19,all,Cba120virus,Cvivirinae,Ackermannviridae,Caudovirales,Vira,,
Vibrio phage pVp-1,Vibrio virus pVp1,all,Cetovirus,,Siphoviridae,Caudovirales,Vira,,
Aeromonas phage phiAS7,Aeromonas phage phiAS7,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Aeromonas phage vB_AsaM-56,Aeromonas virus 56,all,Popoffvirus,,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage vB_KleM-RaK2,Enterobacteria phage vB_KleM-RaK2,all,Alcyoneusvirus,,Myoviridae,Caudovirales,Vira,,
Bdellovibrio phage phi1422,Bdellovibrio phage phi1422,all,,,Myoviridae,Caudovirales,Vira,,
Enterobacter phage Enc34,Enterobacter phage Enc34,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phi24R,Clostridium phage phi24R,all,,Nanovirinae,Podoviridae,Caudovirales,Vira,,
Pectobacterium phage ZF40,Pectobacterium phage ZF40,all,,,Myoviridae,Caudovirales,Vira,,
Escherichia phage phiKT,Escherichia phage phiKT,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Vibrio phage vB_VchM-138,Vibrio phage vB_VchM-138,all,,,Myoviridae,Caudovirales,Vira,,
Cyanophage S-TIM5,Cyanophage S-TIM5,all,,,Myoviridae,Caudovirales,Vira,,
Bacillus phage BCD7,Bacillus cereus bacteriophage BCD7,all,,,Myoviridae,Caudovirales,Vira,,
Erwinia phage vB_EamP-S6,Erwinia amylovora Bacteriophage S6,all,,,Podoviridae,Caudovirales,Vira,,
Helicobacter phage 1961P,Helicobacter virus 1961P,all,Schmidvirus,,Podoviridae,Caudovirales,Vira,,
Cronobacter virus ESP29491,Bacteriophage ESP2949-1,all,,Tunavirinae,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiCP34O,Clostridium phage phi34O,all,,,Siphoviridae,Caudovirales,Vira,,
Campylobacter virus CP21,Campylobacter phage CP21,all,Cp220likevirus,Eucampyvirinae,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCP13O,Clostridium phage phi13O,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage ime09,Escherichia virus Ime09,all,T4-like viruses,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Bacillus phage phIS3501,Bacillus phage phIS3501,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage IME10,Enterobacteria phage IME10,all,P22-like viruses,,Podoviridae,Caudovirales,Vira,,
Enterobacteria phage Bp7,Escherichia virus Bp7,all,Dhakavirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCP26F,Clostridium perfringens bacteriophage CP26F,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage IME11,Escherichia virus IME11,all,G7cvirus,,Podoviridae,Caudovirales,Vira,,
Stenotrophomonas phage IME15,Stenotrophomonas maltophilia phage IME15,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Cronobacter phage vB_CsaM_GAP31,Cronobacter virus GAP31,all,Se1virus,Vequintavirinae,Myoviridae,Caudovirales,Vira,,
Cronobacter phage vB_CsaM_GAP161,Cronobacter phage vB_CsaM_GAP161,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Escherichia phage HX01,Escherichia virus HX01,all,Mosigvirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Escherichia phage NJ01,Escherichia virus NJ01,all,Phieco32-like viruses,,Podoviridae,Caudovirales,Vira,,
Riemerella phage RAP44,Bacteriophage RAP44,all,,,Siphoviridae,Caudovirales,Vira,,
Lactobacillus phage Sha1,Lacobacillus temperate phage Sha1,all,,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage RE-2010,Salmonella phage RE-2010,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Bacillus phage SP-10,Bacillus phage SP-10,all,,Spounavirinae,Herelleviridae,Caudovirales,Vira,,
Lactobacillus phage LF1,Lactobacillus phage LF1,all,,,Siphoviridae,Caudovirales,Vira,,
Enterobacter phage EcP1,Enterobacter cloacae phage EcP1,all,,,Podoviridae,Caudovirales,Vira,,
Vibrio phage CP-T1,Bacteriophage CP-T1,all,,,Myoviridae,Caudovirales,Vira,,
Lactobacillus phage JCL1032,Bacteriophage JCL1032,all,,,Siphoviridae,Caudovirales,Vira,,
Haemophilus phage SuMu,Bacteriophage SuMu,all,,,Myoviridae,Caudovirales,Vira,,
Pantoea phage LIMElight,Pantoea virus Limelight,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Caulobacter phage phiCb5,Caulobacter crescentus phage phiCb5,all,,,Leviviridae,,Vira,,
Pseudomonas phage NH-4,Pseudomonas virus NH4,all,PB1likevirus,,Myoviridae,Caudovirales,Vira,,
Staphylococcus phage GH15,Staphylococcus virus G15,all,Kayvirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Brucella phage Pr,Brucella virus Pr,all,Perisivirus,,Podoviridae,Caudovirales,Vira,,
Brucella phage Tb,Brucella virus Tb,all,Perisivirus,,Podoviridae,Caudovirales,Vira,,
Escherichia phage TL-2011b,Escherichia phage TL-2011b,all,Epsilon15-like viruses,,Podoviridae,Caudovirales,Vira,,
Escherichia phage TL-2011c,Escherichia virus TL2011,all,Oslovirus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage JG024,Pseudomonas virus JG024,all,PB1likevirus,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiMMP04,Clostridium phage phiMMP04,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiMMP02,Clostridium phage phiMMP02,all,Cd119virus,,Myoviridae,Caudovirales,Vira,,
Salmonella virus SPN19,Salmonella bacteriophage SPN19,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage R4,Streptomyces virus R4,all,Arequatrovirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Escherichia phage vB_Eco_ACG-M12,Escherichia virus ACGM12,all,Rtpvirus,Tunavirinae,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage vB_EcoP_ACG-C91,Enterobacteria phage vB_EcoP_ACG-C91,all,SP6-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Cronobacter phage vB_CsaP_GAP52,Cronobacter phage vB_CsaP_GAP52,all,,,Podoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoM_ACG-C40,Escherichia virus C40,all,T4-like viruses,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Listeria phage P70,Listeria virus P70,all,Homburgvirus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage ATCC29399B_C,Propionibacterium virus ATCC29399BC,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage BCP78,Bacillus virus BCP78,all,Tsarbombavirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Bacillus phage BPS13,Bacillus virus BPS13,all,Wphvirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Streptomyce phage TG1,Bacteriophage TG1,all,PhiC31-like viruses,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P100D,Propionibacterium virus P100D,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P105,Propionibacterium virus P105,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage SV1,Streptomyces phage SV1,all,,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage ATCC29399B_T,Propionibacterium virus ATCC29399BT,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage P13374,Escherichia coli stx2-prophage P13374,all,Oslovirus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Propionibacterium phage P104A,Propionibacterium virus P104A,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage SSU5,Salmonella phage SSU5,all,Nickievirus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P1.1,Propionibacterium virus P1.1,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P101A,Propionibacterium virus P101A,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P100_1,Propionibacterium virus P1001,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P14.4,Propionibacterium virus P144,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P100_A,Propionibacterium virus P100A,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Pectobacterium phage My1,Pectobacterium virus My1,all,Myunavirus,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage phiHau3,Streptomyces virus phiHau3,all,,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage P9.1,Propionibacterium virus P91,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Rhizobium phage 16-3,Bacteriophage 16-3,all,,,Siphoviridae,Caudovirales,Vira,,
Weissella phage phiYS61,Weissella phage phiYS61,all,,Nanovirinae,Podoviridae,Caudovirales,Vira,,
Shigella phage EP23,Shigella virus EP23,all,Dhillonvirus,,Siphoviridae,Caudovirales,Vira,,
Vibrio phage VP93,Vibrio phage VP93,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage PT2,Pseudomonas aeruginosa bacteriophage PT2,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Thermococcus prieurii virus 1,Thermococcus prieurii virus 1,all,,,,,Vira,,
Bacteroides phage B124-14,Bacteroides phage B124-14,all,,,Siphoviridae,Caudovirales,Vira,,
Erwinia phage PEp14,Erwinia phage PEp14,all,,,Podoviridae,Caudovirales,Vira,,
Synechococcus phage S-CBS4,Synechococcus phage S-CBS4,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas virus PMG1,Pseudomonas aeruginosa bacteriophage vB_PaeS_PMG1,all,D3likevirus,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage Bf7,Pseudomonas virus Bf7,all,Bifseptvirus,,Podoviridae,Caudovirales,Vira,,
Pseudomonas phage phi297,Pseudomonas aeruginosa bacteriophage phi297,all,,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage SPN1S,Salmonella virus SPN1S,all,Epsilon15-like viruses,,Podoviridae,Caudovirales,Vira,,
Rhodococcus phage REQ3,Rhodococcus bacteriophage REQ3,all,,,Siphoviridae,Caudovirales,Vira,,
Rhodococcus phage REQ2,Rhodococcus bacteriophage REQ2,all,,,Siphoviridae,Caudovirales,Vira,,
Rhodococcus phage RRH1,Rhodococcus bacteriophage RRH1,all,,,Siphoviridae,Caudovirales,Vira,,
Cyanophage NATL2A-133,Cyanophage NATL2A-133,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Cyanophage NATL1A-7,Cyanophage NATL1A-7,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Nocardia phage NBR1,Nocardia bacteriophage NBR1,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia virus CBA120,Escherichia phage Cba120,all,Cba120virus,Cvivirinae,Ackermannviridae,Caudovirales,Vira,,
Pseudomonas phage OBP,Pseudomonas fluorescens bacteriophage OBP,all,,,Myoviridae,Caudovirales,Vira,,
Helicobacter phage phiHP33,Helicobacter phage phiHP33,all,Schmidvirus,,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage S24-1,Staphylococcus phage S24-1,all,AHJD-like viruses,Nanovirinae,Podoviridae,Caudovirales,Vira,,
Vibrio phage SIO-2,Vibrio phage SIO-2,all,,,Siphoviridae,Caudovirales,Vira,,
Planktothrix phage PaV-LD,Planktothrix agardhii phage PaV-LD,all,,,Podoviridae,Caudovirales,Vira,,
Salmonella phage PVP-SE1,Salmonella virus SE1,all,Se1virus,Vequintavirinae,Myoviridae,Caudovirales,Vira,,
Gordonia phage GRU1,Bacteriophage GRU1,all,,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage GTE5,Bacteriophage GTE5,all,,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage GTE7,Gordonia virus GTE7,all,Getseptimavirus,,Siphoviridae,Caudovirales,Vira,,
Yersinia phage phiR1-37,Bacteriophage phiR1-37,all,,,Myoviridae,Caudovirales,Vira,,
Vibrio phage VCY-phi,Vibrio virus VCY,all,,,Inoviridae,,Vira,,
Rhodobacter phage RcapMu,Rhodobacter phage RcapMu,all,,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-CBS1,Synechococcus phage S-CBS1,all,,,Siphoviridae,Caudovirales,Vira,,
Pediococcus virus cIP1,Pediococcus damnosus phage clP1,all,Coetzeevirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage HK75,Escherichia virus HK75,all,Hendrixvirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage HK639,Bacteriophage HK639,all,,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage SFP10,Salmonella virus SFP10,all,Cba120virus,Cvivirinae,Ackermannviridae,Caudovirales,Vira,,
Salmonella phage SS3e,Salmonella virus SS3e,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Microviridae phi-CA82,Microviridae phi-CA82,all,,,Microviridae,,Vira,,
Mycobacterium phage SWU1,Mycobacterium virus SWU1,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Stenotrophomonas phage phiSHP2,Stenotrophomonas phage phiSHP2,all,,,Inoviridae,,Vira,,
Salmonella phage 7-11,Salmonella Newport bacteriophage 7-11,all,,,Podoviridae,Caudovirales,Vira,,
Thermus phage TMA,Thermus phage TMA,all,,,Myoviridae,Caudovirales,Vira,,
Pantoea phage LIMEzero,Pantoea virus Limezero,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium virus Faith1,Mycobacteriophage Faith1,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Bdellovibrio phage phi1402,Bdellovibrio bacteriovorus phage phi1402,all,,,Myoviridae,Caudovirales,Vira,,
Gordonia phage GTE2,Gordonia virus GTE2,all,Emalynvirus,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage K30,Escherichia virus K30,all,Kp32virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Synechococcus phage S-CRM01,Synechococcus phage S-CRM01,all,,,Myoviridae,Caudovirales,Vira,,
Clostridium phage phiCD38-2,Clostridium phage phiCD38-2,all,,,Siphoviridae,Caudovirales,Vira,,
Campylobacter virus NCTC12673,Campylobacter jejuni bacteriophage NCTC12673,all,Cp8unalikevirus,Eucampyvirinae,Myoviridae,Caudovirales,Vira,,
Roseobacter phage RDJL Phi 1,Roseobacter virus RDJL1,all,Rdjlvirus,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-CBS3,Synechococcus phage S-CBS3,all,,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-CBS2,Synechococcus phage S-CBS2,all,,,Siphoviridae,Caudovirales,Vira,,
Shigella virus Shfl1,Shigella phage Shfl1,all,T1-like viruses,Tunavirinae,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PAD20,Propionibacterium virus PAD20,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PAS50,Propionibacterium virus PAS50,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Brochothrix phage BL3,Brochothrix phage BL3,all,,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage PE226,Ralstonia virus PE226,all,,,Inoviridae,,Vira,,
Erwinia phage phiEt88,Erwinia phage phiEt88,all,,,Myoviridae,Caudovirales,Vira,,
Erwinia phage phiEa104,Erwinia virus Ea214,all,Ea214virus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Burkholderia phage KS14,Burkholderia phage KS14,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Enterococcus phage EFRM31,Enterococcus faecalis bacteriophage EFRM31,all,Efquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Burkholderia phage KL3,Burkholderia phage KL3,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Burkholderia phage KS5,Burkholderia phage KS5,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Lactococcus phage 949,Lactococcus lactis phage 949,all,,,Siphoviridae,Caudovirales,Vira,,
Brochothrix phage A9,Brochothrix virus A9,all,,,Herelleviridae,Caudovirales,Vira,,
Brochothrix phage NF5,Brochothrix phage NF5,all,,,Siphoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-SSM7,Cyanophage NATL1A15,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-SSM5,Cyanophage 8102-12,all,,,Myoviridae,Caudovirales,Vira,,
Prochlorococcus phage Syn1,Cyanophage Syn1,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-SSM7,Cyanophage 8109-3,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage Syn19,Cyanophage Syn19,all,,,Myoviridae,Caudovirales,Vira,,
Prochlorococcus phage Syn33,Cyanophage Syn33,all,,,Myoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-HM2,Cyanophage M4-259,all,,,Myoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-RSM4,Cyanophage 9303-10a,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-SM1,Cyanophage 6501-1,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-ShM2,Cyanophage 8102-4,all,,,Myoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-HM1,Cyanophage M4-247,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-SM2,Cyanophage 8017-1,all,,,Myoviridae,Caudovirales,Vira,,
Salmonella virus SPC35,Enterobacteria phage SPC35,all,T5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage phiIBB-PF7A,Pseudomonas fluorescens bacteriophage phiIBB-PF7A,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Clostridium phage phiCD6356,Clostridium difficile phage phiCD6356,all,,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter virus 133,Acinetobacter phage 133,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Enterobacteria phage 285P,Enterobacteria phage 285P,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Tsukamurella phage TPA2,Bacteriophage TPA1,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage phi15,Pseudomonas phage phi15,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Vibrio phage ICP3,Vibrio phage ICP3,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Vibrio phage ICP2,Vibrio phage ICP2,all,,,Podoviridae,Caudovirales,Vira,,
Vibrio phage ICP1,Vibrio phage ICP1,all,,,Myoviridae,Caudovirales,Vira,,
Salmonella phage ST160,Bacteriophage ST160,all,P22-like viruses,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Wee,Mycobacterium virus Wee,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage Acj9,Acinetobacter phage Acj9,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Enterobacter phage CC31,Enterobacter virus CC31,all,Cc31virus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Acinetobacter phage Acj61,Acinetobacter phage Acj61,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Acinetobacter phage Ac42,Acinetobacter phage Ac42,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Aeromonas phage phiAS5,Aeromonas bacteriophage phiAS5,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Aeromonas phage phiAS4,Aeromonas virus AS4,all,Tulanevirus,,Myoviridae,Caudovirales,Vira,,
Shigella phage SP18,Shigella virus SP18,all,Gaprivervirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Yersinia phage Yepe2,Yersinia phage Yepe2,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Klebsiella phage K11,Klebsiella virus K11,all,Kp32virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Burkholderia virus phi6442,Burkholderia phage phi644-2,all,E125virus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage TP21-L,Bacillus cereus bacteriophage TP21,all,Lwoffvirus,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiCTP1,Clostridium phage phiCTP1,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas virus MP29,Bacteriophage MP29,all,Casadabanvirus,,Siphoviridae,Caudovirales,Vira,,
